,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO,marker site,latitude,longitude,site_id
391,Salvador,PORTALEGRE,CAMPO MAIOR,SÃO JOÃO BAPTISTA,GUADIANA,190.0,299975.0,231625.0,A11 - ELVAS - CAMPO MAIOR,,34441,39.04669,-6.97828,387/4
392,,PORTALEGRE,CAMPO MAIOR,-,GUADIANA,233.0,297866.0,231805.0,A11 - ELVAS - CAMPO MAIOR,,2077786,39.04855,-7.00261,387/8
419,Pena Clara,PORTALEGRE,ELVAS,SÃO VICENTE E VENTOSA,GUADIANA,380.0,275550.0,220125.0,A5 - ELVAS - VILA BOIM,,34459,38.94556,-7.26165,399/12
420,,PORTALEGRE,ELVAS,SÃO VICENTE E VENTOSA,GUADIANA,382.35,275702.0,220199.0,A5 - ELVAS - VILA BOIM,,17288,38.94622,-7.25989,399/6
424,,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA EXPECTAÇÃO,GUADIANA,200.0,292075.0,221525.0,A11 - ELVAS - CAMPO MAIOR,,34563,38.95659,-7.07088,400/7
425,AC2 - Roças de Baixo,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA EXPECTAÇÃO,GUADIANA,205.0,298124.0,223968.0,A11 - ELVAS - CAMPO MAIOR,,74251,38.97794,-7.00075,401/36
466,Sto António,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,390.0,278800.0,215475.0,A5 - ELVAS - VILA BOIM,,34477,38.9034,-7.2247,413/123
467,TCN1 - Vila Boim,PORTALEGRE,ELVAS,VILA BOIM,GUADIANA,436.09,274879.0,210635.0,A5 - ELVAS - VILA BOIM,,34480,38.86015,-7.27042,413/54
468,Algaravenha,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,371.0,279180.0,212290.0,A5 - ELVAS - VILA BOIM,,34544,38.87468,-7.22068,413/78
469,,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,233.0,285898.0,211457.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2038746,38.86654,-7.14339,414/116
470,Elvas,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,278.0,285375.0,212125.0,A5 - ELVAS - VILA BOIM,,17284,38.87261,-7.14933,414/45
471,Barrancas,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,183.83,291251.0,217921.0,A5 - ELVAS - VILA BOIM,,34435,38.92422,-7.08086,414/67
472,Atalaia,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,218.86,289052.0,217140.0,A11 - ELVAS - CAMPO MAIOR,,34482,38.91741,-7.10631,414/68
473,Campo,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,GUADIANA,171.27,290020.0,210535.0,A11 - ELVAS - CAMPO MAIOR,,34437,38.85783,-7.09602,414/70
474,Caia,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,174.64,293755.0,213712.0,A5 - ELVAS - VILA BOIM,,34439,38.88605,-7.05256,414/71
492,BARRO BRANCO,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,464.0,257204.0,202186.0,A4 - ESTREMOZ - CANO,,34554,38.78537,-7.47474,426/302
494,SDH1-VILA VIÇOSA,ÉVORA,VILA VIÇOSA,VILA VIÇOSA (CONCEIÇÃO),GUADIANA,401.01,261350.0,202194.0,A4 - ESTREMOZ - CANO,,34449,38.78516,-7.42703,426/334
495,SDH2 - RIO DE MOÍNHOS,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,392.35,257568.0,200705.0,A4 - ESTREMOZ - CANO,,34447,38.772,-7.47067,426/335
496,SDH4 - NORA,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,418.0,254000.0,203100.0,A4 - ESTREMOZ - CANO,,34445,38.7938,-7.51154,426/337
498,Carrascal,ÉVORA,BORBA,BORBA (MATRIZ),GUADIANA,401.0,259625.0,204300.0,A4 - ESTREMOZ - CANO,,34550,38.80425,-7.4467,426/348
501,Monte Soares,ÉVORA,VILA VIÇOSA,CILADAS,GUADIANA,391.57,275390.0,207541.0,A5 - ELVAS - VILA BOIM,,60204,38.83223,-7.26487,427/24
502,Amada,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,290.0,281625.0,209625.0,A5 - ELVAS - VILA BOIM,,34537,38.85045,-7.19283,428/17
503,AC1 - Monte da Vinha,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,GUADIANA,157.0,290984.0,207675.0,A11 - ELVAS - CAMPO MAIOR,,74252,38.83197,-7.08529,428/36
504,,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,187.0,289082.0,208242.0,A5 - ELVAS - VILA BOIM,,2038782,38.83727,-7.10712,428/37
519,,ÉVORA,VILA VIÇOSA,PARDAIS,GUADIANA,290.0,265250.0,194250.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,60535,38.71333,-7.38289,441/10
551,Poço no Monte do Louseiro,ÉVORA,ÉVORA,NOSSA SENHORA DE MACHEDE,GUADIANA,240.0,228817.0,173336.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076336,38.52687,-7.80263,460/255
556,Poço Alamo-Cabida,ÉVORA,ÉVORA,TORRE DE COELHEIROS,GUADIANA,225.51,224936.0,162879.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076308,38.43279,-7.84751,471/81
