Date,441/10
1996-04-16,1.21
1996-05-16,2.13
1996-06-16,3.47
1996-07-16,8.4
1996-08-16,8.32
1996-09-16,5.72
1996-10-16,8.4
1996-11-16,6.23
1996-12-16,5.89
1997-01-16,3.38
1997-02-16,3.63
1997-03-16,4.05
1997-04-16,6.73
1997-05-16,7.06
1997-06-16,5.47
1997-07-16,5.47
1997-09-16,5.72
1997-10-16,5.98
1997-11-16,3.63
1997-12-16,2.13
1998-01-16,1.88
1998-02-16,2.04
1998-03-16,2.63
1998-04-16,2.88
1998-05-16,2.41
1998-06-16,3.9
1998-07-16,6.78
1998-08-16,7.12
1998-09-16,5.68
1998-10-16,5.43
1998-11-16,4.4
1999-01-16,4.83
1999-02-03,4.73
